"T","blastomere","gini","tree"
6,"A",0,"main"
6,"B",0,"main"
6.15285756326531,"A",0.288914788914789,"main"
6.15285756326531,"B",0.30137741046832,"main"
6.30571512653061,"A",0.374634671588986,"main"
6.30571512653061,"B",0.449373979314099,"main"
6.45857268979592,"A",0.455718804203653,"main"
6.45857268979592,"B",0.544836116264688,"main"
6.61143025306122,"A",0.497784165768356,"main"
6.61143025306122,"B",0.629835908492035,"main"
6.76428781632653,"A",0.536316340664167,"main"
6.76428781632653,"B",0.710499068130048,"main"
6.91714537959184,"A",0.559691402211087,"main"
6.91714537959184,"B",0.756486164220221,"main"
7.07000294285714,"A",0.571353933422899,"main"
7.07000294285714,"B",0.798727857010066,"main"
7.22286050612245,"A",0.580910586944597,"main"
7.22286050612245,"B",0.828869127337012,"main"
7.37571806938776,"A",0.593533672580571,"main"
7.37571806938776,"B",0.85196944939592,"main"
7.52857563265306,"A",0.603564629852039,"main"
7.52857563265306,"B",0.869293049776127,"main"
7.68143319591837,"A",0.616618173305241,"main"
7.68143319591837,"B",0.879995033420938,"main"
7.83429075918367,"A",0.623750582568601,"main"
7.83429075918367,"B",0.89066440472649,"main"
7.98714832244898,"A",0.633319821949993,"main"
7.98714832244898,"B",0.897381701507967,"main"
8.14000588571428,"A",0.642803371792654,"main"
8.14000588571428,"B",0.903494947128542,"main"
8.29286344897959,"A",0.649551368495597,"main"
8.29286344897959,"B",0.908414794693544,"main"
8.4457210122449,"A",0.654182790923893,"main"
8.4457210122449,"B",0.911471489548687,"main"
8.5985785755102,"A",0.65606146624762,"main"
8.5985785755102,"B",0.913984780964238,"main"
8.75143613877551,"A",0.657633474646052,"main"
8.75143613877551,"B",0.916399601743614,"main"
8.90429370204082,"A",0.65974271801063,"main"
8.90429370204082,"B",0.918549984267126,"main"
9.05715126530612,"A",0.661521267368964,"main"
9.05715126530612,"B",0.920905852098287,"main"
9.21000882857143,"A",0.662742016531644,"main"
9.21000882857143,"B",0.922947176809311,"main"
9.36286639183673,"A",0.66296815663785,"main"
9.36286639183673,"B",0.924981727782426,"main"
9.51572395510204,"A",0.66181719090892,"main"
9.51572395510204,"B",0.926678352170235,"main"
9.66858151836735,"A",0.661859728987805,"main"
9.66858151836735,"B",0.927903322266191,"main"
9.82143908163265,"A",0.661399931687574,"main"
9.82143908163265,"B",0.929167031776952,"main"
9.97429664489796,"A",0.660667302114362,"main"
9.97429664489796,"B",0.930442237455024,"main"
10.1271542081633,"A",0.660242658862112,"main"
10.1271542081633,"B",0.931915123149439,"main"
10.2800117714286,"A",0.659874363418715,"main"
10.2800117714286,"B",0.933223562702774,"main"
10.4328693346939,"A",0.65887143111695,"main"
10.4328693346939,"B",0.934291752208122,"main"
10.5857268979592,"A",0.657847263647514,"main"
10.5857268979592,"B",0.93540756391952,"main"
10.7385844612245,"A",0.657699522842086,"main"
10.7385844612245,"B",0.936384880378678,"main"
10.8914420244898,"A",0.656871540775959,"main"
10.8914420244898,"B",0.937284172236437,"main"
11.0442995877551,"A",0.656698780023418,"main"
11.0442995877551,"B",0.93811462206017,"main"
11.1971571510204,"A",0.656087767600194,"main"
11.1971571510204,"B",0.939113226403559,"main"
11.3500147142857,"A",0.655205766735653,"main"
11.3500147142857,"B",0.939997734417527,"main"
11.502872277551,"A",0.654993603909266,"main"
11.502872277551,"B",0.940674816585844,"main"
11.6557298408163,"A",0.654635674196641,"main"
11.6557298408163,"B",0.941480116363138,"main"
11.8085874040816,"A",0.654467173917016,"main"
11.8085874040816,"B",0.942146475004921,"main"
11.9614449673469,"A",0.654327535256373,"main"
11.9614449673469,"B",0.942868154661052,"main"
12.1143025306122,"A",0.653774277256878,"main"
12.1143025306122,"B",0.943304923180442,"main"
12.2671600938775,"A",0.653285593026813,"main"
12.2671600938775,"B",0.943838526368942,"main"
12.4200176571429,"A",0.652779834214034,"main"
12.4200176571429,"B",0.944225379209611,"main"
12.5728752204082,"A",0.652366506529217,"main"
12.5728752204082,"B",0.944597964884278,"main"
12.7257327836735,"A",0.651979077575045,"main"
12.7257327836735,"B",0.94486160590745,"main"
